index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,number_init
4,0.584,0.5965362169681419,3747.7330417633057,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,full,500,lda,0.25
5,0.648,0.6822752041308957,2875.352692127228,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,linear,500,lda,0.05
5,0.644,0.6598586361735151,2579.8839597702026,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,linear,449,lda,0.1
5,0.632,0.6497099692577953,2764.884789466858,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,linear,491,lda,0.15000000000000002
5,0.604,0.6051261382295866,2092.1485090255737,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,linear,368,lda,0.2
5,0.604,0.617780481862658,1924.2834894657135,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,linear,335,lda,0.25
6,0.604,0.614113845287839,2003.5667216777802,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,circular,344,lda,0.05
6,0.608,0.6222226223928639,2322.0113615989685,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,circular,400,lda,0.1
6,0.612,0.6408396677007203,2446.069202899933,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,circular,423,lda,0.15000000000000002
6,0.6,0.617787170754729,2879.042904853821,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,circular,498,lda,0.2
6,0.628,0.6534011579818032,2304.1115143299103,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,circular,404,lda,0.25
7,0.608,0.613735372656101,2847.552339076996,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,pairwise,500,lda,0.05
7,0.66,0.6863951114798572,2754.16167140007,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,pairwise,488,lda,0.1
7,0.612,0.653345937216905,2241.303826570511,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,pairwise,401,lda,0.15000000000000002
7,0.624,0.6255250900360145,2830.8312113285065,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,pairwise,500,lda,0.2
7,0.604,0.6102426174788405,2839.6485364437103,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,pairwise,500,lda,0.25
8,0.568,0.5762653549388356,1865.153609752655,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,sca,322,lda,0.05
8,0.604,0.6158487179487179,2447.4683649539948,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,sca,421,lda,0.1
8,0.608,0.6277251107745808,2790.221190929413,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,sca,486,lda,0.15000000000000002
8,0.588,0.587816028759682,2010.5210764408112,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,sca,348,lda,0.2
8,0.56,0.5811642343836373,2279.236256837845,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,full,sca,396,lda,0.25
9,0.596,0.6106585648629298,2958.7882039546967,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,full,428,lda,0.05
9,0.612,0.6221636710560877,3134.47599029541,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,full,452,lda,0.1
9,0.636,0.6446469059987545,3055.63676738739,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,full,442,lda,0.15000000000000002
9,0.6,0.6322493040322756,2339.68293094635,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,full,338,lda,0.2
9,0.588,0.6016138991113654,2802.4948613643646,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,full,407,lda,0.25
10,0.588,0.5953555257420761,2057.725712299347,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,linear,381,lda,0.05
10,0.632,0.6516894366197185,2105.601647377014,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,linear,392,lda,0.1
10,0.708,0.714161320688444,2095.7413947582245,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,linear,391,lda,0.15000000000000002
10,0.616,0.6336288359165053,2170.2883701324463,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,linear,409,lda,0.2
10,0.648,0.6514324361628708,2363.5417940616608,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,linear,443,lda,0.25
11,0.592,0.6129393983152828,2272.230594396591,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,circular,413,lda,0.05
11,0.608,0.6269061862868315,2494.861096382141,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,circular,458,lda,0.1
11,0.58,0.6021262029793162,2595.6945827007294,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,circular,469,lda,0.15000000000000002
11,0.624,0.6251409859336688,1622.553790807724,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,circular,293,lda,0.2
11,0.624,0.6339551573912322,2377.629605293274,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,circular,439,lda,0.25
12,0.644,0.6582083874974599,2539.760936975479,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,pairwise,479,lda,0.05
12,0.584,0.6057301476544517,2269.0073611736298,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,pairwise,426,lda,0.1
12,0.556,0.5592127872127871,1525.267451763153,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,pairwise,285,lda,0.15000000000000002
12,0.624,0.6294368191721134,2276.4796528816223,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,pairwise,431,lda,0.2
12,0.604,0.6129839097744362,2229.4569749832153,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,pairwise,425,lda,0.25
13,0.604,0.6195654557659667,2678.2953855991364,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,sca,500,lda,0.05
13,0.6,0.615820313020313,2365.423275232315,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,sca,441,lda,0.1
13,0.608,0.6245395604395604,2700.228202342987,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,sca,500,lda,0.15000000000000002
13,0.58,0.5834937495432195,2267.686353445053,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,sca,419,lda,0.2
13,0.628,0.6482351058170902,2429.1969199180603,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,linear,sca,451,lda,0.25
14,0.572,0.5831000537365989,3518.2920212745667,<function get_efficientsu2 at 0x7ffa165a3f70>,<function get_cobyla at 0x7ff9e52bcaf0>,<function get_zzfeaturemap at 0x7ffa1d7164c0>,circular,full,500,lda,0.05
