index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,number_init
4,0.16279069767441862,0.1883312933496532,2324.631399154663,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,full,1000,pca,0.25
5,0.2558139534883721,0.2845654746216093,1806.6393103599548,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,1000,pca,0.05
5,0.2558139534883721,0.2766625866993064,1809.6940908432007,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,1000,pca,0.1
5,0.2558139534883721,0.2792040001342327,1807.880487203598,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,1000,pca,0.15000000000000002
5,0.3023255813953488,0.31895978920838586,1805.6426529884338,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,1000,pca,0.2
5,0.20930232558139536,0.2350300861928769,1805.4347414970398,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,1000,pca,0.25
6,0.32558139534883723,0.34858658923370756,1862.1951217651367,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,1000,pca,0.05
6,0.20930232558139536,0.22228350236439215,1854.469403743744,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,1000,pca,0.1
6,0.13953488372093023,0.1580338266384778,1849.660527229309,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,1000,pca,0.15000000000000002
6,0.3488372093023256,0.377033818894284,1849.0376806259155,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,1000,pca,0.2
6,0.18604651162790697,0.20779220779220778,1849.5368571281433,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,1000,pca,0.25
7,0.3488372093023256,0.3560635522212873,1811.2753314971924,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,pairwise,1000,pca,0.05
7,0.2558139534883721,0.2813581767070139,1810.2425572872162,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,pairwise,1000,pca,0.1
7,0.2558139534883721,0.28654515914374357,1808.6259570121765,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,pairwise,1000,pca,0.15000000000000002
7,0.23255813953488372,0.2594046780093292,1808.2433059215546,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,pairwise,1000,pca,0.2
7,0.23255813953488372,0.23880462869340524,1810.1230289936066,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,pairwise,1000,pca,0.25
8,0.20930232558139536,0.23323033555591696,1865.1562054157257,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,sca,1000,pca,0.05
8,0.20930232558139536,0.2375858250276855,1849.0297784805298,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,sca,1000,pca,0.1
8,0.27906976744186046,0.2762964032933699,1847.28023147583,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,sca,1000,pca,0.15000000000000002
8,0.23255813953488372,0.24894291754756867,1850.5313410758972,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,sca,1000,pca,0.2
8,0.20930232558139536,0.20794709166802186,1854.5366415977478,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,sca,1000,pca,0.25
9,0.13953488372093023,0.15599284436493738,2233.6836564540863,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,full,1000,pca,0.05
9,0.23255813953488372,0.2519671271201259,2224.703291654587,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,full,1000,pca,0.1
9,0.27906976744186046,0.28391336964675956,2222.305730819702,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,full,1000,pca,0.15000000000000002
9,0.16279069767441862,0.18105830805527467,2224.8597650527954,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,full,1000,pca,0.2
9,0.2558139534883721,0.2634665076525542,2215.1669960021973,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,full,1000,pca,0.25
10,0.09302325581395349,0.11286388030574078,1734.420345544815,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,linear,1000,pca,0.05
10,0.23255813953488372,0.24824165043043295,1715.8901326656342,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,linear,1000,pca,0.1
10,0.18604651162790697,0.22729789590254706,1708.1226434707642,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,linear,1000,pca,0.15000000000000002
10,0.20930232558139536,0.22795034422941401,1699.2700443267822,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,linear,1000,pca,0.2
10,0.20930232558139536,0.26046511627906976,1698.362741947174,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,linear,1000,pca,0.25
11,0.13953488372093023,0.17009966777408636,1737.274837732315,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,circular,1000,pca,0.05
11,0.20930232558139536,0.22233967582804787,1735.382882118225,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,circular,1000,pca,0.1
