index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,number_init
4,0.16279069767441862,0.18008445845476714,398.6484885215759,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,full,171,pca,0.25
5,0.13953488372093023,0.1559928443649374,543.8269565105438,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,301,pca,0.05
5,0.23255813953488372,0.2607561405518608,306.94880056381226,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,170,pca,0.1
5,0.16279069767441862,0.15975624922273352,401.87061953544617,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,223,pca,0.15000000000000002
5,0.32558139534883723,0.35174418604651164,330.8659625053406,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,183,pca,0.2
5,0.32558139534883723,0.33396087117017353,441.84173226356506,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,245,pca,0.25
6,0.2558139534883721,0.3085271317829458,397.2848424911499,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,207,pca,0.05
6,0.2558139534883721,0.2525025514081602,403.5708727836609,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,209,pca,0.1
6,0.18604651162790697,0.16580298920884068,501.32259798049927,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,266,pca,0.15000000000000002
6,0.20930232558139536,0.2093610523843082,334.8111674785614,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,176,pca,0.2
